Year,Age,Sex,mx
1843,46,Male,0.01437
1843,47,Female,0.01418
1843,47,Male,0.01603
1843,48,Female,0.01526
1843,48,Male,0.01747
1843,49,Female,0.01575
1843,49,Male,0.01816
1843,50,Female,0.01612
1843,50,Male,0.01865
1843,51,Female,0.01605
1843,51,Male,0.01869
1843,52,Female,0.01552
1843,52,Male,0.01827
1843,53,Female,0.01550
1843,53,Male,0.01829
1843,54,Female,0.01622
1843,54,Male,0.01897
1843,55,Female,0.01722
1843,55,Male,0.01993
1843,56,Female,0.01941
1843,56,Male,0.02221
1843,57,Female,0.02371
1843,57,Male,0.02686
1843,58,Female,0.02767
1843,58,Male,0.03114
1843,59,Female,0.02973
1843,59,Male,0.03321
1843,60,Female,0.03169
1843,60,Male,0.03518
1843,61,Female,0.03182
1843,61,Male,0.03529
1843,62,Female,0.02999
1843,62,Male,0.03337
1843,63,Female,0.03013
1843,63,Male,0.03356
1843,64,Female,0.03246
1843,64,Male,0.03609
1843,65,Female,0.03518
1843,65,Male,0.03909
1843,66,Female,0.04004
1843,66,Male,0.04459
1843,67,Female,0.04899
1843,67,Male,0.05506
1843,68,Female,0.05715
1843,68,Male,0.06477
1843,69,Female,0.06162
1843,69,Male,0.06987
1843,70,Female,0.06616
1843,70,Male,0.07508
1843,71,Female,0.06906
1843,71,Male,0.07782
1843,72,Female,0.06960
1843,72,Male,0.07721
1843,73,Female,0.07225
1843,73,Male,0.07956
1843,74,Female,0.07779
1843,74,Male,0.08568
1843,75,Female,0.08376
1843,75,Male,0.09230
1843,76,Female,0.09369
1843,76,Male,0.10249
1843,77,Female,0.11157
1843,77,Male,0.11967
1843,78,Female,0.12805
1843,78,Male,0.13615
1843,79,Female,0.13856
1843,79,Male,0.14837
1843,80,Female,0.11996
1843,80,Male,0.13444
1843,81,Female,0.13220
1843,81,Male,0.14853
1843,82,Female,0.14358
1843,82,Male,0.16297
1843,83,Female,0.15636
1843,83,Male,0.17922
1843,84,Female,0.17076
1843,84,Male,0.19693
1843,85,Female,0.18005
1843,85,Male,0.19724
1843,86,Female,0.19440
1843,86,Male,0.21154
1843,87,Female,0.20965
1843,87,Male,0.22650
1843,88,Female,0.22586
1843,88,Male,0.24207
1843,89,Female,0.24299
1843,89,Male,0.25827
1843,90,Female,0.26107
1843,90,Male,0.27503
1843,91,Female,0.28011
1843,91,Male,0.29236
1843,92,Female,0.30012
1843,92,Male,0.31021
1843,93,Female,0.32119
1843,93,Male,0.32855
1843,94,Female,0.34318
1843,94,Male,0.34741
1843,95,Female,0.36597
1843,95,Male,0.36656
